               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10624,            0.035194,                   0,             0.21394,             0.15652,             0.07275,            0.019352,            0.082641,             0.02507,                   0,            0.070588,            0.003268,            0.003268
                   1,            0.078497,            0.034381,                   0,             0.36334,             0.23478,             0.23385,            0.083218,            0.071393,            0.026754,                   0,            0.040458,           0.0064706,           0.0064706
                   2,            0.069873,            0.031287,                   0,              0.2703,             0.28696,             0.20661,            0.070834,            0.068323,            0.021483,                   0,            0.010195,           0.0095412,           0.0095412
                   3,            0.063228,            0.029389,                   0,             0.50421,             0.46087,             0.47164,              0.2082,            0.050063,            0.019659,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.055671,            0.027004,                   0,             0.45931,              0.4506,             0.35313,             0.16863,            0.055522,             0.02083,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.052383,            0.027478,                   0,              0.5726,             0.48696,              0.5414,             0.26042,            0.050881,            0.020749,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.049089,            0.026646,                   0,             0.65206,             0.53913,             0.56855,             0.32406,            0.045982,            0.017992,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.046344,            0.025364,                   0,             0.66678,             0.48696,             0.54204,             0.27351,            0.044868,            0.020405,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.045878,            0.025616,                   0,             0.71563,             0.47826,             0.55175,             0.28449,            0.044257,            0.018604,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.043143,            0.025224,                   0,             0.74439,             0.53181,             0.60149,             0.34907,            0.038046,            0.017304,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.043601,            0.025417,                   0,             0.81006,             0.46957,             0.58545,             0.33114,            0.039774,            0.017742,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.042674,            0.024971,                   0,             0.63174,             0.65217,             0.64295,             0.36637,            0.036434,            0.017304,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.039624,            0.023058,                   0,             0.73378,             0.53913,             0.60396,             0.34406,            0.036621,            0.018641,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.04044,            0.022682,                   0,              0.7759,             0.51184,               0.587,             0.34403,            0.040399,            0.018858,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.038239,            0.022546,                   0,             0.72119,                 0.6,             0.65387,             0.39134,            0.034819,            0.017694,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.038437,            0.022563,                   0,             0.72524,                 0.6,             0.69369,             0.42444,            0.035558,             0.01672,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.036278,            0.021878,                   0,             0.71154,             0.63478,             0.67591,             0.41666,            0.036376,            0.017864,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.036165,            0.020459,                   0,             0.77695,             0.57391,             0.64024,             0.36771,            0.037188,            0.019177,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.036047,            0.021504,                   0,             0.69947,             0.54783,              0.6257,             0.38189,             0.03815,            0.019389,                   0,            0.006634,            0.006634,            0.006634
                  19,               0.036,            0.021087,                   0,             0.74125,             0.58261,             0.64888,             0.38004,            0.035883,            0.017602,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.034285,            0.020532,                   0,             0.78519,             0.55652,             0.65952,             0.41698,            0.035547,             0.01857,                   0,            0.006238,            0.006238,            0.006238
