               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  21,            0.034473,            0.020535,                   0,             0.77336,             0.54783,             0.64906,             0.41912,            0.034532,              0.0184,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.034194,            0.021332,                   0,             0.84247,             0.60456,             0.69532,              0.4457,            0.033779,            0.016898,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.033109,            0.020404,                   0,              0.7748,             0.62829,             0.71828,             0.45184,            0.033525,            0.017004,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.033061,            0.019629,                   0,             0.72869,             0.65217,             0.71683,             0.45229,            0.033591,            0.017247,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.031981,            0.018864,                   0,             0.81919,             0.59097,               0.718,             0.43764,            0.034713,            0.017082,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.032052,            0.019098,                   0,              0.7466,                 0.6,             0.69485,             0.44094,            0.032783,            0.017341,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.03081,            0.019221,                   0,             0.88539,             0.53744,             0.68866,             0.41539,            0.036122,            0.017755,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.031156,             0.01876,                   0,             0.79356,              0.6017,             0.70401,             0.44197,            0.031889,            0.018421,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.029902,            0.018418,                   0,             0.67738,              0.6573,             0.71668,             0.46203,            0.030425,            0.018223,                   0,            0.004456,            0.004456,            0.004456
                  30,             0.02975,            0.018201,                   0,             0.79041,              0.6559,             0.72372,             0.45902,            0.031032,            0.018218,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.029227,            0.017398,                   0,             0.70887,             0.67753,              0.7007,             0.44364,            0.032893,            0.017049,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.028925,            0.017578,                   0,             0.70209,             0.69678,             0.73785,             0.46754,            0.031436,            0.016031,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.028484,            0.016867,                   0,             0.79114,             0.64348,             0.73385,             0.46818,             0.03008,            0.017056,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.028558,            0.016841,                   0,             0.80774,             0.63478,             0.70661,             0.46179,            0.031149,            0.017047,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.028755,            0.017609,                   0,             0.83856,             0.67826,             0.73332,             0.48221,            0.028958,            0.017022,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.027939,             0.01727,                   0,             0.73456,             0.72192,             0.75773,             0.49321,            0.028433,            0.016249,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.028024,            0.016834,                   0,             0.74283,             0.69565,             0.74009,             0.48409,            0.029415,            0.017401,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.028453,            0.018012,                   0,             0.75966,             0.68714,             0.73964,             0.49077,            0.029994,            0.017053,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.026277,            0.016066,                   0,             0.82338,             0.70435,             0.75413,             0.49439,            0.030345,            0.018993,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.02645,            0.016867,                   0,             0.81791,             0.67826,             0.75844,             0.50798,            0.030176,             0.01727,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.025854,            0.016345,                   0,              0.8407,             0.64248,             0.74613,             0.49774,            0.030262,            0.017424,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.02565,             0.01583,                   0,             0.73184,             0.68696,             0.72695,             0.46305,            0.030805,            0.018598,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.025537,            0.015736,                   0,             0.80014,              0.6087,             0.69111,             0.45154,             0.02966,            0.020344,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.02546,            0.016396,                   0,              0.7659,              0.6828,             0.72331,             0.46864,            0.030101,            0.018844,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.024794,             0.01539,                   0,             0.75439,             0.70435,             0.72917,             0.49189,            0.029149,            0.019712,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.025127,            0.015465,                   0,             0.84499,             0.66087,             0.76353,             0.50165,            0.028027,            0.018325,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.025265,            0.015124,                   0,             0.80268,             0.66957,             0.73995,             0.49595,            0.028396,            0.018159,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.025139,            0.015268,                   0,              0.7974,             0.66957,              0.7456,             0.49887,            0.027692,             0.01798,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.024655,            0.015361,                   0,              0.8505,             0.66957,             0.75446,             0.50096,            0.027688,            0.018042,                   0,            0.000496,            0.000496,            0.000496
