image_name,confidence,IoU
IMG_20180724_125420.jpg,0.935517,0.9860480637233274
IMG_20180724_121053.jpg,0.883918,0.9241057432097575
IMG_1234.jpg,0.30948,0.9198074514073608
IMG_20180714_105052.jpg,0.754244,0.913668316460619
IMG_20100101_031404.jpg,0.368885,0.9248298891128474
IMG_20180724_122617.jpg,0.828481,0.5993567704679568
IMG_20180726_122652.jpg,0.907676,0.8967272888109958
IMG_20180724_122357.jpg,0.890091,0.9259774654200729
IMG_20180724_123530.jpg,0.0,0.0
IMG_20100101_023139.jpg,0.936613,0.9167915928070074
IMG_1244.jpg,0.634046,0.9074971410702056
IMG_20180811_083617.jpg,0.824293,0.9202195999992243
IMG_20180723_145854.jpg,0.514922,0.9607806009602272
IMG_20180714_103103.jpg,0.253296,0.9018042834910233
IMG_20100101_033337.jpg,0.949278,0.8919310883336303
IMG_20180717_100254.jpg,0.0,0.0
IMG_20180723_124655.jpg,0.644769,0.9229049876593483
IMG_1302.jpg,0.333647,0.9349687656248241
IMG_20180724_121144.jpg,0.935631,0.9052763558539026
IMG_20180719_141917.jpg,0.777991,0.8799021100505351
IMG_20180714_102729.jpg,0.291557,0.8876506080184315
IMG_20100101_022648.jpg,0.93688,0.8503411131089266
IMG_20100101_032553.jpg,0.844337,0.9529208306209551
IMG_20180724_125716.jpg,0.956716,0.9585823614435982
IMG_20180723_123653.jpg,0.901423,0.8296683695499721
IMG_20180724_124449.jpg,0.923128,0.9185132649467689
IMG_20180723_145326.jpg,0.304882,0.8756690404689532
IMG_20180719_143203.jpg,0.798233,0.8046017659716114
IMG_20180724_121924.jpg,0.746367,0.8983365229496754
IMG_20100101_031126.jpg,0.917216,0.920739303735843
IMG_0170.JPG,0.0,0.0
IMG_20100101_033207.jpg,0.0,0.0
IMG_20180810_092905.jpg,0.877897,0.9607086240145946
IMG_20180723_145121.jpg,0.259539,0.9121297479517991
IMG_20180723_145744.jpg,0.908288,0.8775193208728791
IMG_20180714_105021.jpg,0.87019,0.9085217426729256
IMG_20180723_123225.jpg,0.835297,0.9524648957621675
IMG_20100101_031419.jpg,0.881191,0.43931854953501126
IMG_20180723_123254.jpg,0.915006,0.949849249372788
IMG_20180721_090612.jpg,0.445359,0.6701381250871227
