model,train_test_accuracy,cross_validation_accuracy
original_features,0.8882201203783319,0.8918210367572736
svm_tuned,0.8354829464029808,0.8335196824640411
svm_feature_selected,0.8360561765548867,0.8340356635977642
svm_pca,0.8354829464029808,0.8338636205551847
