model,train_test_accuracy,cross_validation_accuracy
SVM,0.8882201203783319,0.8918210367572736
SGD,0.8896531957580969,0.8753973269320989
RandomForest,0.9237603897965033,0.9258734236787465
MLP,0.7942103754657495,0.828016968993774
