model,train_test_accuracy,cross_validation_accuracy
svm_baseline,0.775623268698061,0.7518732782369145
svm_tuned,0.775623268698061,0.7518732782369145
svm_top10_features,0.8060941828254847,0.7876928374655647
svm_pca_10,0.775623268698061,0.7518732782369145
